Type,Argument types
action,"do(actor, action)"
action,be(actor)
action,"drink(actor, beverage)"
action,"eat(person, food)"
action,"end_game(entity, entity)"
action,"give(actor, actor, physical_object)"
action,"go(actor, physical_object)"
action,halt(actor)
action,"kill(actor, living_thing)"
action,"move(person, physical_object, container, container)"
action,"move(person, physical_object, container)"
action,"put(actor, physical_object, container)"
action,"press(actor, button)"
action,"get(actor, physical_object)"
action,"find(actor, physical_object)"
action,"take(actor, physical_object, container)"
action,"talk(actor, actor, entity)"
action,"tell(actor, actor, action)"
action,"tell(actor, actor, condition)"
action,"tell_value(actor, actor, condition)"
action,"tell_about(actor, actor, entity)"
action,"ask_about(actor, actor, entity)"
action,"ask(actor, actor, action)"
action,"ask(actor, actor, condition)"
action,"ask_value(actor, actor, condition)"
action,"type(actor, action)"
action,"type(actor, assertion)"
action,"type(actor, question)"
action,"bring(person, physical_object, physical_object)"
action,"search_for(actor, physical_object, physical_object)"
action,"look_for(actor, physical_object)"
action,"sleep(actor, container)"
action,"examine(actor, physical_object)"
action,"read(actor, document)"
action,"turn_on(actor, appliance)"
action,"turn_off(actor, appliance)"
action,"believes(actor, condition)"
action,"watch(actor, physical_object)"
action,"leave(actor, container)"
action,flee(actor)
action,"flush(actor, toilet)"
action,"thinks(actor, condition)"
% Conditions,
condition,can(action)
condition,would(condition)
condition,would(action)
condition,must(action)
condition,may(action)
condition,should(action)
condition,"location(physical_object, container)"
condition,"contained_in(physical_object, container)"
condition,"related(entity, relation, entity)"
condition,"manner(action, manner)"
condition,be(entity)
condition,"be(entity, entity)"
condition,fine(person)
condition,good(person)
condition,okay(person)
condition,thirsty(person)
condition,hungry(person)
condition,"is_a(entity, kind)"
condition,"kind_of(kind, kind)"
condition,turned_on(appliance)
condition,"wants(actor, condition)"
condition,"wants(actor, action)"
condition,"needs(actor, condition)"
condition,"needs(actor, action)"
condition,"likes(actor, condition)"
condition,"likes(actor, action)"
condition,"thinks(actor, condition)"
condition,"believes(actor, condition)"
condition,"knows(actor, condition)"
condition,"knows_value(actor, condition)"
condition,entity:action
condition,entity:condition
condition,"(condition, condition)"
condition,"(action, condition)"
